user_id,product_id,action,timestamp
U328,P029,view,2024-10-14 23:45:05
U141,P063,purchase,2024-02-24 04:35:15
U378,P027,click,2024-08-17 07:47:20
U217,P009,view,2024-02-06 09:18:10
U112,P060,view,2024-08-05 23:10:59
U102,P184,share,2024-03-26 14:39:19
U230,P151,wishlist,2024-11-10 08:26:19
U446,P002,add_to_cart,2024-09-28 03:07:50
U217,P088,wishlist,2024-03-01 09:10:26
U111,P196,remove_from_cart,2024-02-09 16:40:07
U048,P098,click,2024-05-19 09:55:49
U434,P089,wishlist,2024-11-09 10:58:50
U023,P187,review,2024-07-27 06:00:29
U064,P097,click,2024-08-02 09:23:29
U151,P161,remove_from_cart,2024-08-12 05:18:43
U099,P181,click,2024-01-18 19:06:51
U339,P059,wishlist,2024-01-31 23:42:54
U438,P060,click,2024-05-27 15:01:59
U143,P117,remove_from_cart,2024-03-04 04:02:45
U190,P091,purchase,2024-09-17 06:29:07
U137,P180,click,2024-08-24 13:30:44
U326,P044,purchase,2024-03-04 11:01:17
U237,P098,wishlist,2024-12-25 09:16:15
U328,P177,purchase,2024-09-22 21:04:02
U167,P197,view,2024-03-29 22:52:57
U421,P009,remove_from_cart,2024-06-04 19:07:36
U138,P017,purchase,2024-12-20 15:02:43
U483,P146,remove_from_cart,2024-03-23 13:49:22
U336,P128,share,2024-12-09 13:50:40
U469,P165,review,2024-02-25 11:39:35
U136,P036,purchase,2024-10-16 07:48:02
U288,P138,wishlist,2024-10-17 02:40:24
U300,P110,share,2024-05-20 14:03:05
U113,P036,review,2024-02-05 07:20:13
U387,P013,click,2024-02-29 08:35:03
U322,P041,share,2024-08-19 14:56:06
U033,P099,share,2024-08-19 10:04:57
U240,P136,wishlist,2024-08-02 20:26:20
U441,P003,click,2024-09-21 18:00:04
U454,P138,wishlist,2024-10-25 11:51:33
U329,P088,click,2024-04-23 23:37:10
U223,P041,review,2024-01-02 06:14:54
U489,P185,wishlist,2024-07-13 09:48:02
U391,P046,click,2024-12-04 01:49:16
U321,P077,purchase,2024-02-29 08:33:54
U192,P196,add_to_cart,2024-07-28 11:22:36
U489,P200,view,2024-08-20 14:34:05
U166,P126,view,2024-02-13 10:40:57
U476,P093,wishlist,2024-04-02 23:51:26
U030,P062,click,2024-02-03 06:20:52
U375,P125,click,2024-10-22 09:19:33
U273,P197,add_to_cart,2024-02-19 20:41:42
U338,P122,add_to_cart,2024-04-12 22:30:24
U271,P156,share,2024-03-23 06:06:08
U476,P139,purchase,2024-10-03 21:09:57
U160,P103,remove_from_cart,2024-06-19 03:23:19
U461,P133,review,2024-02-16 23:50:27
U127,P058,click,2024-05-11 07:11:09
U011,P151,purchase,2024-08-16 12:39:33
U113,P002,click,2024-10-01 21:33:20
U324,P016,purchase,2024-01-27 04:12:59
U464,P009,remove_from_cart,2024-01-28 12:26:18
U264,P061,wishlist,2024-09-16 19:19:29
U249,P055,add_to_cart,2024-10-07 22:08:04
U479,P147,review,2024-04-04 08:53:54
U402,P122,share,2024-03-14 22:44:56
U049,P025,share,2024-05-17 14:17:33
U217,P106,review,2024-12-01 11:32:31
U374,P014,click,2024-01-24 12:57:03
U207,P187,remove_from_cart,2024-11-06 22:03:46
U442,P028,purchase,2024-03-15 09:44:56
U098,P138,review,2024-02-24 10:35:37
U217,P047,wishlist,2024-06-28 16:00:22
U128,P020,review,2024-11-09 19:18:47
U442,P141,click,2024-01-20 15:31:02
U334,P139,view,2024-02-06 05:16:19
U475,P193,purchase,2024-03-05 14:07:54
U209,P125,review,2024-03-24 00:16:09
U443,P103,view,2024-03-04 22:31:45
U195,P001,share,2024-04-12 23:52:17
U475,P117,wishlist,2024-06-13 06:42:55
U357,P188,review,2024-03-01 02:48:39
U098,P076,purchase,2024-01-23 17:06:13
U297,P189,view,2024-10-17 11:38:15
U161,P015,view,2024-08-14 20:55:47
U245,P129,add_to_cart,2024-01-23 02:09:21
U492,P131,click,2024-11-26 15:05:15
U096,P018,click,2024-09-19 05:26:13
U442,P061,share,2024-02-16 13:25:27
U483,P146,purchase,2024-08-12 19:55:00
U305,P011,click,2024-06-11 19:27:33
U337,P150,remove_from_cart,2024-12-29 00:05:37
U134,P053,remove_from_cart,2024-04-02 16:42:51
U136,P102,add_to_cart,2024-09-17 20:36:23
U331,P077,review,2024-05-02 18:59:06
U476,P193,click,2024-01-04 14:49:34
U235,P160,click,2024-01-29 10:50:21
U276,P055,wishlist,2024-02-21 10:35:04
U478,P090,click,2024-12-07 11:23:33
U126,P095,wishlist,2024-03-02 06:18:25
U225,P140,wishlist,2024-08-25 13:14:59
U414,P168,view,2024-09-16 08:56:10
U419,P142,wishlist,2024-12-27 20:35:44
U340,P027,add_to_cart,2024-04-12 17:00:03
U060,P028,add_to_cart,2024-04-15 18:28:09
U145,P155,purchase,2024-10-05 16:37:49
U176,P053,wishlist,2024-07-15 06:45:13
U251,P065,view,2024-02-05 20:17:02
U325,P109,wishlist,2024-01-18 02:55:06
U002,P086,add_to_cart,2024-09-04 10:19:37
U135,P042,review,2024-08-02 06:02:03
U362,P110,view,2024-02-13 10:44:24
U039,P177,add_to_cart,2024-07-30 21:16:12
U019,P095,add_to_cart,2024-06-15 21:54:09
U066,P011,wishlist,2024-05-21 14:47:54
U461,P011,remove_from_cart,2024-03-22 14:03:18
U350,P064,click,2024-05-17 08:31:25
U400,P144,share,2024-08-29 00:59:04
U384,P040,purchase,2024-12-01 18:42:33
U084,P046,share,2024-01-10 15:01:32
U092,P189,remove_from_cart,2024-10-30 20:22:14
U477,P106,purchase,2024-04-13 14:48:34
U082,P180,click,2024-05-28 13:32:50
U447,P010,review,2024-03-27 09:13:57
U103,P118,remove_from_cart,2024-04-28 12:35:06
U421,P059,purchase,2024-01-10 04:34:06
U338,P050,share,2024-05-07 11:37:23
U143,P018,wishlist,2024-05-16 08:55:08
U329,P131,share,2024-09-20 21:34:04
U432,P138,remove_from_cart,2024-12-30 18:19:28
U015,P030,wishlist,2024-03-10 08:22:21
U298,P068,view,2024-02-12 02:23:05
U306,P112,remove_from_cart,2024-10-09 22:31:55
U403,P081,share,2024-08-23 10:16:33
U262,P030,share,2024-12-15 07:59:30
U296,P049,wishlist,2024-01-18 05:42:44
U363,P112,view,2024-07-20 22:00:31
U474,P138,purchase,2024-05-21 10:47:24
U221,P018,remove_from_cart,2024-08-30 00:13:45
U161,P170,click,2024-10-06 12:35:45
U461,P077,wishlist,2024-09-15 23:53:32
U210,P084,share,2024-09-27 18:27:12
U152,P142,add_to_cart,2024-03-15 12:04:45
U216,P171,share,2024-09-20 01:03:38
U384,P045,wishlist,2024-06-06 16:53:41
U281,P001,wishlist,2024-04-21 10:13:46
U108,P111,remove_from_cart,2024-06-29 14:00:14
U227,P114,purchase,2024-07-17 12:29:13
U243,P189,add_to_cart,2024-09-12 20:56:02
U044,P073,remove_from_cart,2024-02-06 06:25:54
U420,P193,purchase,2024-09-18 06:54:36
U159,P058,purchase,2024-02-27 05:26:18
U013,P012,purchase,2024-07-03 12:35:30
U313,P197,click,2024-06-25 20:47:10
U213,P162,purchase,2024-10-05 23:28:09
U357,P099,review,2024-06-04 05:02:04
U125,P038,view,2024-12-12 16:11:33
U385,P198,click,2024-10-29 07:24:14
